Croatia ;EASTERN EUROPE                     ;4494749;56542;79,5;;;;;;
Cote d'Ivoire ;SUB-SAHARAN AFRICA                 ;17654843;322460;54,8;;;;;;
Costa Rica ;LATIN AMER. & CARIB    ;4075261;51100;79,8;;;;;;
Cook Islands ;OCEANIA                            ;21388;240;89,1;;;;;;
Congo, Repub. of the ;SUB-SAHARAN AFRICA                 ;3702314;342000;10,8;;;;;;
Congo, Dem. Rep. ;SUB-SAHARAN AFRICA                 ;62660551;2345410;26,7;;;;;;
Comoros ;SUB-SAHARAN AFRICA                 ;690948;2170;318,4;;;;;;
Colombia ;LATIN AMER. & CARIB    ;43593035;1138910;38,3;;;;;;
China ;ASIA (EX. NEAR EAST)         ;1313973713;9596960;136,9;;;;;;
Chile ;LATIN AMER. & CARIB    ;16134219;756950;21,3;;;;;;
Chad ;SUB-SAHARAN AFRICA                 ;9944201;1284000;7,7;;;;;;
Central African Rep. ;SUB-SAHARAN AFRICA                 ;4303356;622984;6,9;;;;;;
Cayman Islands ;LATIN AMER. & CARIB    ;45436;262;173,4;;;;;;
Cape Verde ;SUB-SAHARAN AFRICA                 ;420979;4033;104,4;;;;;;
Canada ;NORTHERN AMERICA                   ;33098932;9984670;3,3;;;;;;
Cameroon ;SUB-SAHARAN AFRICA                 ;17340702;475440;36,5;;;;;;
Cambodia ;ASIA (EX. NEAR EAST)         ;13881427;181040;76,7;;;;;;
Burundi ;SUB-SAHARAN AFRICA                 ;8090068;27830;290,7;;;;;;
Burma ;ASIA (EX. NEAR EAST)         ;47382633;678500;69,8;;;;;;
Burkina Faso ;SUB-SAHARAN AFRICA                 ;13902972;274200;50,7;;;;;;
Bulgaria ;EASTERN EUROPE                     ;7385367;110910;66,6;;;;;;
Brunei ;ASIA (EX. NEAR EAST)         ;379444;5770;65,8;;;;;;
British Virgin Is. ;LATIN AMER. & CARIB    ;23098;153;151,0;;;;;;
Brazil ;LATIN AMER. & CARIB    ;188078227;8511965;22,1;;;;;;
Botswana ;SUB-SAHARAN AFRICA                 ;1639833;600370;2,7;;;;;;
Bosnia & Herzegovina ;EASTERN EUROPE                     ;4498976;51129;88,0;;;;;;
Bolivia ;LATIN AMER. & CARIB    ;8989046;1098580;8,2;;;;;;
Bhutan ;ASIA (EX. NEAR EAST)         ;2279723;47000;48,5;;;;;;
Bermuda ;NORTHERN AMERICA                   ;65773;53;1241,0;;;;;;
Benin ;SUB-SAHARAN AFRICA                 ;7862944;112620;69,8;;;;;;
Belize ;LATIN AMER. & CARIB    ;287730;22966;12,5;;;;;;
Belgium ;WESTERN EUROPE                     ;10379067;30528;340,0;;;;;;
Belarus ;C.W. OF IND. STATES ;10293011;207600;49,6;;;;;;
Barbados ;LATIN AMER. & CARIB    ;279912;431;649,5;;;;;;
Bangladesh ;ASIA (EX. NEAR EAST)         ;147365352;144000;1023,4;;;;;;
Bahrain ;NEAR EAST                          ;698585;665;1050,5;;;;;;
Bahamas, The ;LATIN AMER. & CARIB    ;303770;13940;21,8;;;;;;
Azerbaijan ;C.W. OF IND. STATES ;7961619;86600;91,9;;;;;;
Austria ;WESTERN EUROPE                     ;8192880;83870;97,7;;;;;;
Australia ;OCEANIA                            ;20264082;7686850;2,6;;;;;;
Aruba ;LATIN AMER. & CARIB    ;71891;193;372,5;;;;;;
Armenia ;C.W. OF IND. STATES ;2976372;29800;99,9;;;;;;
Argentina ;LATIN AMER. & CARIB    ;39921833;2766890;14,4;;;;;;
Antigua & Barbuda ;LATIN AMER. & CARIB    ;69108;443;156,0;;;;;;
Anguilla ;LATIN AMER. & CARIB    ;13477;102;132,1;;;;;;
Angola ;SUB-SAHARAN AFRICA                 ;12127071;1246700;9,7;;;;;;
Andorra ;WESTERN EUROPE                     ;71201;468;152,1;;;;;;
American Samoa ;OCEANIA                            ;57794;199;290,4;;;;;;
Algeria ;NORTHERN AFRICA                    ;32930091;2381740;13,8;;;;;;
Albania ;EASTERN EUROPE                     ;3581655;28748;124,6;;;;;;
Afghanistan ;ASIA (EX. NEAR EAST)         ;31056997;647500;48,0;;;;;;
